"name","ring","quadrant","isNew","description"
"TypeScript 4","adopt","Languages","TRUE","<a href='https://www.typescriptlang.org/'>TypeScript</a> is our choice for create script automation test web and api."
"JQ","adopt","Languages","TRUE","jq is a lightweight and flexible command-line JSON processor."
"Bash","adopt","Languages","TRUE","<a href='https://www.gnu.org/software/bash/'>Bash</a> is our choice for scripting integration toolkit."
"Mocha Chai","adopt","Frameworks","TRUE","<a href='https://mochajs.org/'>Mocha</a> is our choice for framework automation test api."
"PNPM 7","adopt","Frameworks","TRUE","Package manager for TypeScript."
"Github","adopt","Tools","TRUE","All repository should use GitHub."
"Github Actions","adopt","Tools","TRUE","Continuous Integration for running our automation test."
"Github Pages","adopt","Tools","TRUE","Tools for store and deploy report automation test."
"VS Code","adopt","Tools","TRUE","A free lightweight IDE. Our text editor of choice."
"Postman","adopt","Tools","TRUE","Postman is an API platform for testing API."
"Testrail","adopt","Tools","TRUE","TestRail is a test management platform that helps you streamline your software testing processes"
"Asynchronus Typescript","adopt","Techniques","TRUE","Type test needs to know when the code it is testing has completed, before it can move on to another test."
"Docker","assess","Tools","TRUE","Docker should be used as the default containerisation technology."
"JavaScript","hold","Languages","FALSE","<a href='https://www.javascript.com/'>JavaScript</a> is our choice for create script performance test. Hold after compare with typescript."
"Python","hold","Languages","FALSE","<a href='https://www.python.org/'>Python</a> is default language for create script automation test using robot framework. Hold because this languages is support for robot framework."
"NPM","hold","Frameworks","FALSE","Package manager for JavaScript. Hold after compared with pnpm."
"Robot Framework","hold","Frameworks","FALSE","<a href='https://robotframework.org/'>RobotFramework</a> is our choice for framework automation test. Hold because this framework not familiar for our engineering and not good from running time."
"Jenkins","hold","Tools","FALSE","Continuous Integration for running our automation test. Hold because not familiar for our engineering and not have dedicated people for maintain and not support from our devops side."
