name;ring;quadrant;isNew;description
Java 7;adopt;Languages;TRUE;<a href='https://www.oracle.com/java/'>Java</a> is our choice for create script automation test mobile.
JQ;adopt;Languages;TRUE;jq is a lightweight and flexible command-line JSON processor.
Bash;adopt;Languages;TRUE;<a href='https://www.gnu.org/software/bash/'>Bash</a> is our choice for scripting integration toolkit.
Cucumber;adopt;Frameworks;TRUE;<a href='https://cucumber.io/'>Cucumber</a> is a testing tool that supports Behavior Driven Development (BDD).
TestNG;adopt;Frameworks;TRUE;Test framework for Java code.
Appium 2;adopt;Frameworks;TRUE;<a href='https://appium.io/'>Appium</a> is our choice for framework automation test mobile.
Github;adopt;Tools;TRUE;All repository should use GitHub.
Github Actions;adopt;Tools;TRUE;Continuous Integration for running our automation test.
Github Pages;adopt;Tools;TRUE;Tools for store and deploy report automation test.
VS Code;adopt;Tools;TRUE;A free lightweight IDE. Our text editor of choice.
Testrail;adopt;Tools;TRUE;TestRail is a test management platform that helps you streamline your software testing processes
BrowserStack;adopt;Tools;TRUE;<a href='https://www.browserstack.com/'BrowseStack</a> is our choice for simulator our application.
Docker;assess;Tools;TRUE;Docker should be used as the default containerisation technology.
JavaScript;assess;Languages;TRUE;<a href='https://www.javascript.com/'>JavaScript</a> is our choice for create script performance test. Hold after compare with typescript.
TypeScript 4;assess;Languages;TRUE;<a href='https://www.typescriptlang.org/'>TypeScript</a> is our choice for create script automation test web and api.
WebdriverIO 8;assess;Frameworks;TRUE;<a href='https://webdriver.io/'>WebdriverIO</a> is our choice for framework automation test web.
PNPM 7;assess;Frameworks;TRUE;Package manager for TypeScript.
NPM;assess;Frameworks;TRUE;Package manager for JavaScript.
Python;hold;Languages;FALSE;<a href='https://www.python.org/'>Python</a> is default language for create script automation test using robot framework. Hold because this languages is support for robot framework.
Robot Framework;hold;Frameworks;FALSE;<a href='https://robotframework.org/'>RobotFramework</a> is our choice for framework automation test. Hold because this framework not familiar for our engineering and not good from running time.
jUnit 4;hold;Frameworks;FALSE;Test framework for Java code.
Appium 1;hold;Frameworks;FALSE;<a href='https://appium.io/'>Appium</a> is our choice for framework automation test mobile.
Jenkins;hold;Tools;FALSE;Continuous Integration for running our automation test. Hold because not familiar for our engineering and not have dedicated people for maintain and not support from our devops side.
